"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-29 02:00:00",285,12.62,457.6339,1970,1970,1969,1969,1
"2016-10-29 03:00:00",286,12.62,456.9513,1970,1970,1969,1969,1
"2016-10-29 04:00:00",287,12.61,459.4334,1970,1970,1969,1969,1
"2016-10-29 05:00:00",288,12.61,459.3093,1970,1970,1969,1969,1
"2016-10-29 06:00:00",289,12.6,459.1852,1970,1970,1969,1969,1
"2016-10-29 07:00:00",290,12.6,456.3308,1970,1970,1969,1969,1
"2016-10-29 08:00:00",291,12.6,453.2903,1970,1970,1969,1969,1
"2016-10-29 09:00:00",292,12.62,456.0826,1970,1970,1969,1969,1
"2016-10-29 10:00:00",293,12.66,455.4001,1970,1970,1969,1969,1
"2016-10-29 11:00:00",294,12.74,454.2831,1970,1970,1969,1969,1
"2016-10-29 12:00:00",295,12.96,453.4765,1970,1970,1969,1969,1
"2016-10-29 13:00:00",296,13.01,453.5385,1970,1970,1969,1969,1
"2016-10-29 14:00:00",297,13.08,450.8083,1970,1970,1969,1969,1
"2016-10-29 15:00:00",298,12.98,450.9944,1970,1970,1969,1969,1
"2016-10-29 16:00:00",299,12.9,448.0159,1970,1970,1969,1969,1
"2016-10-29 17:00:00",300,12.84,449.5672,1970,1970,1969,1969,1
"2016-10-29 18:00:00",301,12.77,449.9395,1970,1970,1969,1969,1
"2016-10-29 19:00:00",302,12.72,452.7939,1970,1970,1969,1969,1
"2016-10-29 20:00:00",303,12.69,449.257,1970,1970,1969,1969,1
"2016-10-29 21:00:00",304,12.65,448.3977,1970,1970,1969,1969,1
"2016-10-29 22:00:00",305,12.64,450.4359,1970,1970,1969,1969,1
"2016-10-29 23:00:00",306,12.63,451.1185,1970,1970,1969,1969,1
"2016-10-30 00:00:00",307,12.62,450.6841,1970,1970,1969,1969,1
"2016-10-30 01:00:00",308,12.62,449.1949,1970,1970,1969,1969,1
"2016-10-30 02:00:00",309,12.61,451.8011,1970,1970,1969,1969,1
"2016-10-30 03:00:00",310,12.6,450.8703,1970,1970,1969,1969,1
"2016-10-30 04:00:00",311,12.6,450.9944,1970,1970,1969,1969,1
"2016-10-30 05:00:00",312,12.59,452.2975,1970,1970,1969,1969,1
"2016-10-30 06:00:00",313,12.58,450.9944,1970,1970,1969,1969,1
"2016-10-30 07:00:00",314,12.58,451.3667,1970,1970,1969,1969,1
"2016-10-30 08:00:00",315,12.58,453.3524,1970,1970,1969,1969,1
"2016-10-30 09:00:00",316,12.58,449.7534,1970,1970,1969,1969,1
"2016-10-30 10:00:00",317,12.64,451.677,1970,1970,1969,1969,1
"2016-10-30 11:00:00",318,12.69,451.1805,1970,1970,1969,1969,1
"2016-10-30 12:00:00",319,12.88,450.6221,1970,1970,1969,1969,1
"2016-10-30 13:00:00",320,12.95,451.4287,1970,1970,1969,1969,1
"2016-10-30 14:00:00",321,12.88,447.3429,1970,1970,1969,1969,1
